Date,Open,High,Low,Close,Volume,Symbol
2025-02-10,413.71,415.4624,410.92,412.22,20817919,MSFT
2025-02-11,409.64,412.49,409.3,411.44,18140592,MSFT
2025-02-12,407.21,410.75,404.3673,409.04,19121734,MSFT
2025-02-13,407.0,411.0,406.36,410.54,23891731,MSFT
2025-02-14,407.79,408.91,405.88,408.43,22758464,MSFT
2025-02-18,408.0,410.597,406.5,409.64,21423051,MSFT
2025-02-19,407.88,415.49,407.65,414.77,24114197,MSFT
2025-02-20,415.29,419.31,412.54,416.13,23508728,MSFT
2025-02-21,417.335,418.048,407.89,408.21,27524799,MSFT
2025-02-24,408.51,409.37,399.32,404.0,26443656,MSFT
2025-02-25,401.1,401.915,396.7,397.9,29387402,MSFT
2025-02-26,398.01,403.6,394.245,399.73,19618954,MSFT
2025-02-27,401.265,405.74,392.17,392.53,21127406,MSFT
2025-02-28,392.655,397.63,386.57,396.99,32845658,MSFT
2025-03-03,398.82,398.82,386.155,388.49,23007726,MSFT
2025-03-04,383.4,392.58,381.0,388.61,29342923,MSFT
2025-03-05,389.34,401.67,388.81,401.02,23433132,MSFT
2025-03-06,394.28,402.15,392.6777,396.89,23304625,MSFT
2025-03-07,392.32,394.8,385.54,393.31,22034087,MSFT
2025-03-10,385.84,386.4,377.22,380.16,32569768,MSFT
2025-03-11,379.0,386.0,376.91,380.45,30380177,MSFT
2025-03-12,382.95,385.2165,378.9507,383.27,24253567,MSFT
2025-03-13,383.155,385.32,377.45,378.77,20473017,MSFT
2025-03-14,379.775,390.23,379.51,388.56,19952846,MSFT
2025-03-17,386.7,392.705,385.57,388.7,22474272,MSFT
2025-03-18,387.07,387.37,381.1,383.52,19486850,MSFT
2025-03-19,385.525,389.68,384.0,387.82,19185532,MSFT
2025-03-20,385.735,391.785,383.28,386.84,18470542,MSFT
2025-03-21,383.215,391.74,382.8,391.26,39675928,MSFT
2025-03-24,395.4,395.4,389.81,393.08,21004548,MSFT
2025-03-25,393.915,396.36,392.64,395.16,15774968,MSFT
2025-03-26,395.0,395.31,388.57,389.97,16132906,MSFT
2025-03-27,390.13,392.24,387.395,390.58,13766761,MSFT
2025-03-28,388.08,389.13,376.93,378.8,21632016,MSFT
2025-03-31,372.535,377.07,367.24,375.39,35184676,MSFT
2025-04-01,374.65,382.85,373.23,382.19,19689503,MSFT
2025-04-02,377.965,385.08,376.62,382.14,16092555,MSFT
2025-04-03,374.785,377.48,369.35,373.11,30197997,MSFT
2025-04-04,364.125,374.59,359.48,359.84,49209854,MSFT
2025-04-07,350.88,370.9999,344.79,357.86,50424998,MSFT
2025-04-08,368.255,373.65,350.25,354.56,35868918,MSFT
2025-04-09,353.535,393.225,353.1,390.49,50199696,MSFT
2025-04-10,382.06,383.9,367.8,381.35,38024368,MSFT
2025-04-11,380.635,390.05,378.89,388.45,23839220,MSFT
2025-04-14,393.22,394.65,384.21,387.81,19251172,MSFT
2025-04-15,388.505,391.89,384.1599,385.73,17199890,MSFT
2025-04-16,380.67,381.61,368.0,371.61,21967826,MSFT
2025-04-17,373.745,374.3215,366.89,367.78,21120192,MSFT
2025-04-21,362.815,364.48,355.67,359.12,20807279,MSFT
2025-04-22,363.375,367.77,359.8602,366.82,19484993,MSFT
2025-04-23,376.06,380.39,373.02,374.39,20545526,MSFT
2025-04-24,375.695,388.45,375.19,387.3,22232289,MSFT
2025-04-25,387.0,392.16,384.6,391.85,18973165,MSFT
2025-04-28,391.955,392.74,386.638,391.16,16579430,MSFT
2025-04-29,391.3,395.1,390.38,394.04,14973976,MSFT
2025-04-30,390.3,396.66,384.44,395.26,36461075,MSFT
2025-05-01,431.11,436.99,424.9,425.4,58938100,MSFT
2025-05-02,431.74,439.44,429.985,435.28,30757434,MSFT
2025-05-05,432.87,439.5,432.11,436.17,20136053,MSFT
2025-05-06,432.2,437.73,431.17,433.31,15104204,MSFT
2025-05-07,433.84,438.12,431.1103,433.35,23307241,MSFT
2025-05-08,437.93,443.67,435.66,438.17,23491330,MSFT
2025-05-09,440.0,440.74,435.88,438.73,15324233,MSFT
2025-05-12,445.94,449.37,439.78,449.26,22821935,MSFT
2025-05-13,447.78,450.6733,445.36,449.14,23618819,MSFT
2025-05-14,448.14,453.9,448.14,452.94,19902796,MSFT
