Date,Open,High,Low,Close,Volume,Symbol
2025-02-10,130.09,135.0,129.96,133.57,216989086,NVDA
2025-02-11,132.58,134.48,131.02,132.8,178902379,NVDA
2025-02-12,130.02,132.24,129.08,131.14,160278552,NVDA
2025-02-13,131.555,136.5,131.17,135.29,197429975,NVDA
2025-02-14,136.48,139.25,135.5,138.85,195479557,NVDA
2025-02-18,141.27,143.44,137.925,139.4,219176627,NVDA
2025-02-19,139.51,141.36,137.22,139.23,167536006,NVDA
2025-02-20,140.03,140.66,136.7901,140.11,143903583,NVDA
2025-02-21,140.04,141.46,134.03,134.43,228217585,NVDA
2025-02-24,136.56,138.59,130.08,130.28,251381137,NVDA
2025-02-25,129.98,130.2,124.44,126.63,271428711,NVDA
2025-02-26,129.985,133.73,128.49,131.28,322553814,NVDA
2025-02-27,135.0,135.01,120.01,120.15,443175846,NVDA
2025-02-28,118.02,125.09,116.4,124.92,389091145,NVDA
2025-03-03,123.51,123.7,112.28,114.06,411381373,NVDA
2025-03-04,110.645,119.31,110.11,115.99,398163305,NVDA
2025-03-05,117.58,118.2781,114.51,117.3,284337886,NVDA
2025-03-06,113.53,115.35,110.22,110.57,321181861,NVDA
2025-03-07,111.25,113.48,107.56,112.69,341755468,NVDA
2025-03-10,109.9,111.85,105.46,106.98,361107562,NVDA
2025-03-11,106.99,112.236,104.77,108.76,354865692,NVDA
2025-03-12,114.12,116.76,112.88,115.74,323857454,NVDA
2025-03-13,117.03,117.76,113.79,115.58,299033131,NVDA
2025-03-14,118.61,121.88,118.15,121.67,277593455,NVDA
2025-03-17,122.74,122.89,118.03,119.53,255501481,NVDA
2025-03-18,118.0,119.02,114.54,115.43,299686944,NVDA
2025-03-19,117.27,120.445,115.68,117.52,273426225,NVDA
2025-03-20,116.55,120.2,116.47,118.53,248829749,NVDA
2025-03-21,116.94,117.99,115.42,117.7,266498528,NVDA
2025-03-24,119.88,122.22,119.34,121.41,228452534,NVDA
2025-03-25,120.545,121.29,118.92,120.69,167447198,NVDA
2025-03-26,118.73,118.84,112.71,113.76,296431667,NVDA
2025-03-27,111.35,114.45,110.66,111.43,236902055,NVDA
2025-03-28,111.485,112.87,109.0701,109.67,229872549,NVDA
2025-03-31,105.13,110.955,103.65,108.38,299212653,NVDA
2025-04-01,108.515,110.2,106.47,110.15,222614034,NVDA
2025-04-02,107.29,111.98,106.79,110.42,220601243,NVDA
2025-04-03,103.51,105.63,101.6,101.8,338769412,NVDA
2025-04-04,98.91,100.13,92.11,94.31,532273810,NVDA
2025-04-07,87.46,101.75,86.62,97.64,611041347,NVDA
2025-04-08,103.805,105.85,94.46,96.3,476243392,NVDA
2025-04-09,98.89,115.1,97.5301,114.33,612918336,NVDA
2025-04-10,109.37,110.86,99.15,107.57,437812353,NVDA
2025-04-11,108.5,111.5499,107.48,110.93,313417265,NVDA
