Date,Open,High,Low,Close,Volume,Symbol
2025-06-10,1227.52,1227.52,1180.61,1203.62,4454447,NFLX
2025-06-11,1202.6,1228.29,1196.0101,1219.88,2382280,NFLX
2025-06-12,1222.59,1230.0,1211.965,1215.03,2084602,NFLX
2025-06-13,1206.59,1220.62,1201.89,1212.15,2210253,NFLX
2025-06-16,1212.2,1226.25,1212.2,1225.35,2112797,NFLX
2025-06-17,1219.95,1232.3569,1216.09,1220.67,1892126,NFLX
2025-06-18,1229.99,1241.9999,1220.5,1222.29,2281047,NFLX
2025-06-20,1234.45,1248.4999,1224.349,1231.41,5348193,NFLX
2025-06-23,1238.025,1254.84,1215.01,1253.54,2667318,NFLX
2025-06-24,1260.545,1282.571,1255.0,1279.11,2663307,NFLX
2025-06-25,1286.84,1297.9999,1273.81,1275.25,2146510,NFLX
2025-06-26,1280.0,1307.34,1280.0,1306.67,2605870,NFLX
2025-06-27,1306.88,1331.345,1301.0,1323.12,4070857,NFLX
2025-06-30,1331.0,1341.15,1321.21,1339.13,3282908,NFLX
2025-07-01,1338.23,1338.7743,1282.22,1293.6,4993567,NFLX
2025-07-02,1296.96,1299.9499,1271.59,1284.86,3048801,NFLX
2025-07-03,1292.0,1302.26,1279.76,1297.18,2006224,NFLX
